764 AATSC3Z 8
765 AATSC4Z 8
766 AATSC5Z 8
767 AATSC6Z 8
768 AATSC7Z 8
769 AATSC8Z 8
780 AATSC0m 3
781 AATSC1m 3
817 AATSC2m 7
825 AATSC3m 7
828 AATSC4m 1
829 AATSC5m 2
830 AATSC6m 3
831 AATSC7m 3
832 AATSC8m 4
833 AATSC0v 1
841 AATSC1v 1
844 AATSC2v 1
845 AATSC3v 2
846 AATSC4v 3
847 AATSC5v 3
848 AATSC6v 4
865 AATSC7v 8
866 AATSC8v 8
867 AATSC0se 8
868 AATSC1se 8
869 AATSC2se 8
870 AATSC3se 8
871 AATSC4se 8
872 AATSC5se 8
873 AATSC6se 8
874 AATSC7se 8
875 AATSC8se 8
876 AATSC0pe 8
877 AATSC1pe 8
878 AATSC2pe 8
879 AATSC3pe 8
880 AATSC4pe 8
881 AATSC5pe 8
882 AATSC6pe 8
883 AATSC7pe 8
884 AATSC8pe 8
885 AATSC0are 8
886 AATSC1are 8
887 AATSC2are 8
888 AATSC3are 8
889 AATSC4are 8
890 AATSC5are 8
1249 AATSC6are 8
1250 AATSC7are 8
1251 AATSC8are 8
1252 AATSC0p 8
1301 AATSC1p 1
1359 AATSC2p 96
1360 AATSC3p 59
1361 AATSC4p 61
1362 AATSC5p 166
1363 AATSC6p 5
1364 AATSC7p 7
1365 AATSC8p 162
1366 AATSC0i 13
1367 AATSC1i 163
1368 AATSC2i 197
1369 AATSC3i 87
1370 AATSC4i 123
1371 AATSC5i 150
1372 AATSC6i 198
1373 AATSC7i 180
1374 AATSC8i 194
1375 MATS1c 152
1376 MATS2c 164
1377 MATS3c 181
1378 MATS4c 8
1379 MATS5c 8
1380 MATS6c 8
1381 MATS7c 8
1382 MATS8c 8
1383 MATS1dv 8
1384 MATS2dv 8
1385 MATS3dv 8
1386 MATS4dv 8
1387 MATS5dv 8
1388 MATS6dv 8
1389 MATS7dv 8
1582 MATS8dv 4
1611 MATS1d 7
